feature,importance
g_snr_median,15
color_u_i,15
r_det_flux_mean,15
z_n_obs,15
r_snr_std,15
u_flux_range,15
z_det_duration,15
total_observations,15
g_flux_diff_mean,15
y_snr_std,14
total_detections,14
i_snr_std,14
z_flux_std,14
r_flux_range,14
i_det_flux_mean,14
i_flux_diff_mean,14
y_flux_diff_std,14
g_flux_diff_std,13
r_residual_std,13
y_flux_median,13
r_snr_max,13
g_flux_p90,13
u_frac_above_mean,13
i_snr_mean,13
i_n_obs,13
r_det_flux_max,13
g_snr_std,12
r_flux_p75,12
u_n_obs,11
r_flux_diff_std,11
i_rms,11
y_residual_std,11
i_n_det,11
g_flux_median,11
z_snr_max,10
i_det_flux_max,10
r_n_det,10
g_flux_max,10
u_rise_rate,9
r_flux_mean,9
u_det_frac,9
z_snr_std,9
r_flux_p90,9
y_rise_rate,8
z_rms,8
i_flux_std,8
u_residual_std,8
i_flux_diff_std,8
r_snr_mean,8
i_flux_range,7
i_residual_std,7
u_decay_time,7
y_rise_time,7
z_flux_range,6
g_rms,6
z_det_flux_max,6
y_det_duration,6
g_flux_mean,6
z_peak_flux,5
y_n_obs,5
g_n_det,5
g_flux_range,5
y_decay_rate,5
y_decay_time,5
z_flux_max,5
blue_red_ratio,5
z_n_det,5
i_flux_max,5
u_det_flux_mean,5
u_peak_time_rel,5
u_n_det,4
u_variability,4
g_det_flux_max,4
z_residual_std,3
u_rise_time,3
y_det_flux_max,3
y_variability,2
u_det_duration,2
r_peak_flux,2
y_rms,2
peak_band_is_g,2
i_peak_flux,1
y_det_flux_mean,1
peak_band_is_blue,1
u_rms,1
u_peak_flux,1
g_peak_flux,1
y_peak_flux,0
peak_band_is_u,0
y_n_det,0
u_det_flux_max,0
n_bands_detected,0
