mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6.233799076080322,0.16054647947967488,1.1415618896484374,0.8255705284750859,10,sqrt,4,2,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.37209302325581395,0.5,0.56,0.5384615384615384,0.35555555555555557,0.46522202345458163,0.08515414717858666,1,0.9076923076923077,0.9291338582677166,0.9042145593869731,0.9224806201550387,0.9260700389105059,0.9179182768825085,0.010054031879620286
6.0703049659729,0.19790612661305784,2.429681634902954,0.3123442428585946,10,sqrt,4,5,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",0.37209302325581395,0.5,0.56,0.5384615384615384,0.35555555555555557,0.46522202345458163,0.08515414717858666,1,0.9076923076923077,0.9291338582677166,0.9042145593869731,0.9224806201550387,0.9260700389105059,0.9179182768825085,0.010054031879620286
4.451470279693604,0.2799743588523129,1.2138422966003417,0.14774335141024802,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.37209302325581395,0.4583333333333333,0.6,0.5384615384615384,0.35555555555555557,0.4648886901212482,0.09410183088084186,3,0.9147286821705426,0.9365079365079365,0.9182879377431906,0.9260700389105059,0.9333333333333333,0.9257855857331018,0.008372431610444944
6.408126449584961,0.5302803182923932,0.731693696975708,0.09462036672610427,10,sqrt,1,5,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.34146341463414637,0.4583333333333333,0.6,0.5555555555555556,0.35555555555555557,0.4621815718157182,0.1036044494632136,4,0.9111969111969112,0.9365079365079365,0.9007633587786259,0.9224806201550387,0.9333333333333333,0.9208564319943692,0.013418782217708638
3.582434129714966,0.6000168097832422,1.3217191219329834,0.22113309742234027,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3333333333333333,0.4583333333333333,0.5882352941176471,0.5384615384615384,0.391304347826087,0.4619335694143878,0.09311082114513985,5,0.9042145593869731,0.932806324110672,0.921875,0.9224806201550387,0.9296875,0.9222128007305368,0.009921858644560909
4.636401653289795,0.9488701806220403,1.3093515396118165,0.9104014579648702,10,sqrt,4,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.3333333333333333,0.49056603773584906,0.56,0.5185185185185185,0.391304347826087,0.4587444474827576,0.0838025711823897,6,0.9111969111969112,0.932806324110672,0.9147286821705426,0.9118773946360154,0.9224806201550387,0.918617986453836,0.008146944070085598
4.173927211761475,0.49628309213541655,1.264196252822876,0.42900740355444733,10,sqrt,4,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.3333333333333333,0.49056603773584906,0.56,0.5185185185185185,0.391304347826087,0.4587444474827576,0.0838025711823897,6,0.9111969111969112,0.932806324110672,0.9147286821705426,0.9118773946360154,0.9224806201550387,0.918617986453836,0.008146944070085598
5.994208669662475,0.27465986160754446,1.0229619503021241,0.6727428372552917,10,sqrt,2,5,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.34146341463414637,0.4583333333333333,0.5714285714285714,0.5660377358490566,0.35555555555555557,0.4585637221601327,0.09860259155592492,8,0.9182879377431906,0.9365079365079365,0.9007633587786259,0.9224806201550387,0.937007874015748,0.9230095454401079,0.013383765736965751
6.0885608196258545,0.11849787560774531,1.3331876277923584,0.5689795211294849,10,sqrt,2,2,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.38095238095238093,0.4489795918367347,0.56,0.5384615384615384,0.35555555555555557,0.4567898133612419,0.08171083645999996,9,0.9182879377431906,0.944,0.9076923076923077,0.9224806201550387,0.9407114624505929,0.9266344656082259,0.01375098491581061
6.430298280715943,0.7672110592332828,0.797798490524292,0.3447707642662838,10,sqrt,4,10,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",0.3333333333333333,0.47058823529411764,0.5714285714285714,0.5555555555555556,0.34782608695652173,0.45574635651361994,0.10019607302900733,10,0.9042145593869731,0.9254901960784314,0.9076923076923077,0.9083969465648855,0.9260700389105059,0.9143728097266207,0.009422861007114097
3.9074697494506836,1.223141359940146,1.6765885829925538,0.8764381460594817,10,sqrt,2,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.32558139534883723,0.48,0.56,0.5555555555555556,0.35555555555555557,0.45533850129198966,0.09838619781064945,11,0.9076923076923077,0.9254901960784314,0.921875,0.918918918918919,0.918918918918919,0.9185790683217154,0.005956163301260829
