feature,importance
r_frac_above_mean,0.03529733032979062
r_flux_skew,0.02769733775066395
r_flux_p25,0.02695374721514048
g_flux_skew,0.02608871586504986
mean_variability,0.02598095511417996
r_cv,0.02529315178606064
r_decay_rate,0.02163730821002168
max_variability,0.020395106320851585
i_decay_rate,0.017729254749510544
i_flux_skew,0.01763908478950057
i_rise_time,0.016289740378776393
i_cv,0.01531555431199148
g_rise_time,0.015235189730547317
g_frac_above_mean,0.014900268011449194
r_rise_time,0.014097995454577492
g_flux_p10,0.013304674301650861
r_snr_median,0.013213518257504471
r_flux_p10,0.012783229945177532
g_cv,0.012405138226019019
r_det_duration,0.011860896958307776
r_det_frac,0.01152245643478261
i_det_duration,0.01123567218432177
r_flux_kurtosis,0.010780077645543893
g_det_duration,0.01063511764397102
r_rise_rate,0.009967096051553164
g_flux_p25,0.009710465981722748
r_flux_median,0.009431863161458621
peak_time_spread,0.009210724906032405
i_flux_p10,0.009022592274964727
i_frac_above_mean,0.008392140241766223
u_dominance,0.007681386875360514
u_snr_max,0.006902587318339493
u_snr_mean,0.006889368222263483
detection_time_span,0.006380483005039882
i_flux_p25,0.006377255627947703
z_decay_rate,0.006269600623637587
u_fraction,0.006267825264240352
color_peak_u_r,0.006111703247581384
u_flux_mean,0.005900582985619537
g_decay_rate,0.005852847322616227
z_cv,0.005581261070345248
u_flux_p90,0.005522859125852824
g_snr_mean,0.005149263866385077
u_flux_median,0.005118509450266782
r_decay_time,0.0050350810371497965
g_flux_min,0.005025552128731692
u_flux_max,0.0047846353758980616
r_rms,0.004754942969206094
g_decay_time,0.004730927953583428
u_snr_std,0.004646098158120831
i_flux_kurtosis,0.0046424891892745705
Z,0.0046052422487819515
r_flux_min,0.004473315256308429
r_n_det,0.004417205741567985
blue_fraction,0.004386697071875838
i_snr_median,0.004272715795588364
r_det_flux_max,0.004133794797002821
z_flux_skew,0.004040411210909044
r_flux_max,0.00401891516559536
g_det_frac,0.004001968787541109
color_peak_r_i,0.003992786628699143
color_peak_u_g,0.003966406151686474
r_det_flux_mean,0.0039365902491743055
z_flux_p25,0.003914422210433769
blue_red_ratio,0.003848509302195028
u_snr_median,0.003707341845659831
g_flux_max,0.003579220217219487
g_fraction,0.003350585602859926
i_rise_rate,0.003350058103639608
color_g_r,0.0033345505968047657
u_flux_p75,0.003226656511525923
z_rise_time,0.0032032197371070904
u_flux_skew,0.002980022151913606
r_snr_mean,0.002942722937875678
g_rms,0.002902050388085069
g_flux_kurtosis,0.0028913084087152444
z_flux_p10,0.0028058072136704373
i_snr_mean,0.0027628214119207618
color_u_r,0.002714908211114297
color_peak_u_i,0.0026733278122846715
peak_delay_g_r,0.0026658094045621406
g_det_flux_max,0.0026396577153417907
r_flux_iqr,0.002602983865200258
g_residual_std,0.002591018587542561
r_flux_range,0.0025435213272239727
g_flux_median,0.002521758863459965
i_time_span,0.002500232832692601
g_flux_mean,0.0024650573599456185
r_peak_time_rel,0.0024536016479554993
total_time_span,0.002418089604676863
u_flux_range,0.002360373140874434
g_snr_median,0.002353149327433844
u_rms,0.0023406113988448532
z_snr_median,0.0023142368800251637
r_peak_flux,0.002284136547585847
z_time_span,0.0022840109169956786
i_flux_mean,0.0022801491033974408
r_cadence_mean,0.002241033124585969
r_flux_mean,0.00223456784329848
i_flux_p75,0.002234033787978706
z_flux_kurtosis,0.0022124873521263562
i_peak_time_rel,0.002209590088631229
g_flux_std,0.002199826942574542
u_time_span,0.0021950523126872215
g_cadence_mean,0.002177796127374141
i_flux_max,0.002159069620176621
i_flux_median,0.002152438053557303
color_g_i,0.002141986843733962
g_peak_flux,0.0021085756734674477
r_variability,0.0020856019329249936
y_cadence_mean,0.0020655676865416763
u_det_flux_mean,0.0020348947961214992
u_flux_p25,0.001991415396719678
r_residual_std,0.001985772145020205
r_snr_max,0.001973739464399319
r_time_span,0.0019711830076682302
color_r_i,0.001960220883834126
r_flux_diff_std,0.0019389173035427205
i_det_frac,0.0019382089237358067
z_cadence_mean,0.0019250786921380012
g_peak_time_rel,0.0019108420182826441
i_decay_time,0.0018796904677679076
