iter	Logloss
0	0.6743067615
1	0.6527627073
2	0.6315159178
3	0.6186951575
4	0.6023626294
5	0.5865407742
6	0.5748171416
7	0.55999704
8	0.5452178645
9	0.5319652371
10	0.5190667237
11	0.5084081695
12	0.4982719984
13	0.4840767287
14	0.4723172786
15	0.4622601744
16	0.4569432499
17	0.4485060176
18	0.4405979241
19	0.4331206398
20	0.425550583
21	0.4176214254
22	0.4120723908
23	0.4058728195
24	0.4010882736
25	0.3959828204
26	0.3905459001
27	0.383931399
28	0.379317378
29	0.3741016227
30	0.368808531
31	0.3626632932
32	0.3588883591
33	0.3525970365
34	0.3474947029
35	0.3425285496
36	0.3381991992
37	0.3342263832
38	0.3290610861
39	0.3249291342
40	0.3215265178
41	0.3166802672
42	0.3132027558
43	0.3100174499
44	0.3069457669
45	0.3026149877
46	0.3000998764
47	0.2976980454
48	0.2964508041
49	0.2933886797
50	0.2891690176
51	0.2853723452
52	0.2825935736
53	0.2806667205
54	0.2770225571
55	0.2749100989
56	0.2718022223
57	0.2693858428
58	0.266823509
59	0.2646727772
60	0.2623243554
61	0.2601790505
62	0.257544938
63	0.2547212849
64	0.2519806905
65	0.248812501
66	0.2455916744
67	0.2426262649
68	0.240666169
69	0.2381987687
70	0.2363142755
71	0.2350521028
72	0.2322261805
73	0.2305667089
74	0.229339904
75	0.2261976329
76	0.2228430268
77	0.2198554104
78	0.2182137769
79	0.2162324164
80	0.2138091573
81	0.2105380687
82	0.2082862927
83	0.2059447129
84	0.2033084826
85	0.2011812139
86	0.1994655791
87	0.1973478626
88	0.1955334184
89	0.1934124153
90	0.1921717654
91	0.1908091547
92	0.1891267393
93	0.1881318835
94	0.1865728755
95	0.1840138249
96	0.1819363965
97	0.1805605976
98	0.1788896828
99	0.177638331
100	0.1757955402
101	0.1738677873
102	0.1731448006
103	0.1718942822
104	0.1699517021
105	0.1687285077
106	0.1673732677
107	0.1657027217
108	0.1646006884
109	0.1635620185
110	0.1622467844
111	0.1615190543
112	0.1606334442
113	0.1591360368
114	0.1579045503
115	0.1569138183
116	0.1550524547
117	0.1537434444
118	0.1529675267
119	0.1520356606
120	0.1510786968
121	0.1497981046
122	0.1488800675
123	0.147581407
124	0.1464868552
125	0.1449027563
126	0.1440159159
127	0.1427754681
128	0.1419270365
129	0.1409293463
130	0.1401754619
131	0.1391424333
132	0.137960172
133	0.1372347929
134	0.1365852437
135	0.135795157
136	0.1344676711
137	0.1330398071
138	0.1323234312
139	0.1314165004
140	0.1303398324
141	0.1294449608
142	0.1285164677
143	0.1276830598
144	0.1271111727
145	0.1260215826
146	0.1251357496
147	0.1241983161
148	0.1235107639
149	0.1225478717
150	0.1214620937
151	0.121052099
152	0.1198198576
153	0.1192467821
154	0.1186533247
155	0.1178274856
156	0.1171787563
157	0.1164853715
158	0.1154914021
159	0.1148798585
160	0.1143888051
161	0.1138249504
162	0.1127289019
163	0.1121080291
164	0.1117455355
165	0.1106577476
166	0.110022448
167	0.1090416788
168	0.1087081718
169	0.1078854635
170	0.1070162629
171	0.1063149173
172	0.1057380057
173	0.1052728805
174	0.1046815981
175	0.1039723756
176	0.1033001386
177	0.102429763
178	0.1019560188
179	0.1014154963
180	0.1008920468
181	0.100111109
182	0.0996543278
183	0.09894672724
184	0.09840488457
185	0.09791502971
186	0.09731768833
187	0.09662440822
188	0.09593756381
189	0.09575398502
190	0.09485679239
191	0.0944464977
192	0.0939054802
193	0.09349517904
194	0.09281228748
195	0.09227296085
196	0.09168312903
197	0.09117670876
198	0.09066324358
199	0.09015163628
200	0.08976154145
201	0.08926361449
202	0.08885807018
203	0.08820380025
204	0.08760715549
205	0.08705323832
206	0.08646582817
207	0.0858461729
208	0.0853169161
209	0.08482389922
210	0.08427770213
211	0.08372645878
212	0.08341679193
213	0.08298065463
214	0.08259935406
215	0.08203162415
216	0.08156298903
217	0.0808809067
218	0.0805599559
219	0.0800180976
220	0.07960842782
221	0.07886999315
222	0.07853147779
223	0.07763236254
224	0.07731501266
225	0.07687867255
226	0.07627653072
227	0.07566800674
228	0.07484316636
229	0.07432897003
230	0.07398567524
231	0.07370123047
232	0.07322792851
233	0.07265579282
234	0.07220509344
235	0.07182737593
236	0.07121069976
237	0.07072529542
238	0.07038833617
239	0.06970971157
240	0.06931716415
241	0.06892984214
242	0.06857653164
243	0.06830227299
244	0.06807465023
245	0.06759788356
246	0.0671996903
247	0.06675156941
248	0.06650042659
249	0.06617112701
250	0.0658485083
251	0.06520874664
252	0.06469112001
253	0.06406464646
254	0.06350552452
255	0.06292404651
256	0.06239251515
257	0.06196336643
258	0.06151362442
259	0.06123310997
260	0.06076643279
261	0.06043479467
262	0.06021200352
263	0.06003690586
264	0.05961075769
265	0.05935884163
266	0.05867021873
267	0.05839103082
268	0.05786159796
269	0.05748176711
270	0.05682432175
271	0.056530138
272	0.05590773636
273	0.05572807915
274	0.05537900809
275	0.05493767867
276	0.05458832872
277	0.05427716763
278	0.05383968608
279	0.05358908584
280	0.0530596319
281	0.05254754613
282	0.05221050082
283	0.05177104261
284	0.05144663739
285	0.05102810551
286	0.05075513129
287	0.05022557639
288	0.05007975148
289	0.04989980624
290	0.04970765908
291	0.04928407197
292	0.0487119281
293	0.04856454386
294	0.04831914217
295	0.04792399089
296	0.04780508655
297	0.04722828264
298	0.04700681353
299	0.04659080147
300	0.04644119618
301	0.04610553506
302	0.04588649299
303	0.04562083056
304	0.0453737601
305	0.04523698503
306	0.04498532906
307	0.04478618676
308	0.04461812969
309	0.04424731427
310	0.04412105033
